model,dataset,run,num_rows_total,num_rows,num_text_columns,num_strings,num_non_ascii_strings,batch_size,max_seq_length,cpu_s,gpu_s,cpu_over_gpu_speedup,embeddings_close,max_abs_error,mean_abs_error,min_cosine_similarity
sentence-transformers/all-distilroberta-v1,chocolate-bar-ratings,0,2789,2048,2,4096,0,32,512,0.8689149389974773,0.6363786349975271,1.3654055796528333,False,0.00023951753973960876,1.09446446003858e-05,0.9999988079071045
sentence-transformers/all-distilroberta-v1,chocolate-bar-ratings,1,2789,2048,2,4096,0,32,512,0.8685095170003478,0.6346555700001772,1.368473795952197,False,0.00023951753973960876,1.09446446003858e-05,0.9999988079071045
sentence-transformers/all-distilroberta-v1,chocolate-bar-ratings,2,2789,2048,2,4096,0,32,512,0.8699108639993938,0.6366650009986188,1.3663557171117076,False,0.00023951753973960876,1.09446446003858e-05,0.9999988079071045
sentence-transformers/all-distilroberta-v1,mercari,0,75000,2048,2,4096,171,32,512,1.0358149130006495,0.7721680639988335,1.3414371317514295,False,0.045407555997371674,2.0300100004533306e-05,0.9498575925827026
sentence-transformers/all-distilroberta-v1,mercari,1,75000,2048,2,4096,171,32,512,1.0360561080015032,0.7741579139983514,1.3383007384766068,False,0.045407555997371674,2.0300100004533306e-05,0.9498575925827026
sentence-transformers/all-distilroberta-v1,mercari,2,75000,2048,2,4096,171,32,512,1.0405752779988688,0.7741141610022169,1.3442142392172165,False,0.045407555997371674,2.0300100004533306e-05,0.9498575925827026
sentence-transformers/all-distilroberta-v1,covid-clinical-trials,0,4227,2048,10,20480,2714,32,512,5.338713945002382,4.674031526999897,1.1422075170359671,False,0.0417691245675087,0.0005025973659940064,0.9570651054382324
sentence-transformers/all-distilroberta-v1,covid-clinical-trials,1,4227,2048,10,20480,2714,32,512,5.334003658001166,4.651309021999623,1.146774732182393,False,0.0417691245675087,0.0005025973659940064,0.9570651054382324
sentence-transformers/all-distilroberta-v1,covid-clinical-trials,2,4227,2048,10,20480,2714,32,512,5.516508751999936,4.6987727690029715,1.174031821328206,False,0.0417691245675087,0.0005025973659940064,0.9570651054382324
sentence-transformers/all-distilroberta-v1,clear-corpus,0,4724,2048,4,8192,654,32,512,2.765332054997998,2.2719454760008375,1.2171647973989401,False,0.026962116360664368,4.895918391412124e-05,0.9753299355506897
sentence-transformers/all-distilroberta-v1,clear-corpus,1,4724,2048,4,8192,654,32,512,2.7696808020009485,2.269126753002638,1.2205932517149818,False,0.026962116360664368,4.895918391412124e-05,0.9753299355506897
sentence-transformers/all-distilroberta-v1,clear-corpus,2,4724,2048,4,8192,654,32,512,2.7701729599975806,2.271732544999395,1.2194098139305032,False,0.026962116360664368,4.895918391412124e-05,0.9753299355506897
sentence-transformers/all-distilroberta-v1,financial-product-complaint,0,75000,2048,1,2048,0,32,512,0.7038080849997641,0.7086211580026429,0.9932078333415203,False,0.018685437738895416,1.1025879757653456e-05,0.9928687214851379
sentence-transformers/all-distilroberta-v1,financial-product-complaint,1,75000,2048,1,2048,0,32,512,0.7049534379984834,0.7116309630000615,0.9906165901306103,False,0.018685437738895416,1.1025879757653456e-05,0.9928687214851379
sentence-transformers/all-distilroberta-v1,financial-product-complaint,2,75000,2048,1,2048,0,32,512,0.7044481200027803,0.7088620409995201,0.9937732298508805,False,0.018685437738895416,1.1025879757653456e-05,0.9928687214851379
